bid,p_win,p_win_pct,p_win_pct_mc_se,mean_if_win,conditional_surplus_v1500,unconditional_utility_v1500,utility_v1500_mc_se,relative_utility
228.13,0.0,0.0,0.0,nan,nan,1.255e-321,0.0,1.63e-322
228.38,0.0,0.0,0.0,nan,nan,1.606e-321,0.0,2.1e-322
228.63,0.0,0.0,0.0,nan,nan,1.947e-321,0.0,2.57e-322
228.88,0.0,0.0,0.0,nan,nan,2.386e-321,0.0,3.16e-322
229.13,0.0,0.0,0.0,nan,nan,3.1e-321,0.0,4.05e-322
229.38,5e-324,4.94e-322,0.0,164.64041196091054,1335.3595880390894,3.76e-321,0.0,4.94e-322
229.63,5e-324,4.94e-322,0.0,164.65987141289008,1335.34012858711,4.21e-321,0.0,5.53e-322
229.88,5e-324,4.94e-322,0.0,164.6848533058818,1335.315146694118,4.7e-321,0.0,6.2e-322
230.13,5e-324,4.94e-322,0.0,164.7087418807662,1335.2912581192338,5.316e-321,0.0,7e-322
230.38,5e-324,4.94e-322,0.0,164.70774196217982,1335.2922580378201,5.316e-321,0.0,7e-322
230.63,5e-324,4.94e-322,0.0,164.73185827588762,1335.2681417241124,5.934e-321,0.0,7.8e-322
230.88,5e-324,4.94e-322,0.0,164.7292992445387,1335.2707007554613,5.91e-321,0.0,7.76e-322
231.13,5e-324,4.94e-322,0.0,164.75286666666668,1335.2471333333333,6.596e-321,0.0,8.7e-322
231.38,5e-324,4.94e-322,0.0,164.75286666666668,1335.2471333333333,6.596e-321,0.0,8.7e-322
231.63,5e-324,4.94e-322,0.0,164.75286666666668,1335.2471333333333,6.596e-321,0.0,8.7e-322
231.88,5e-324,4.94e-322,0.0,164.75286666666668,1335.2471333333333,6.596e-321,0.0,8.7e-322
232.13,5e-324,4.94e-322,0.0,164.75286666666668,1335.2471333333333,6.596e-321,0.0,8.7e-322
232.38,5e-324,4.94e-322,0.0,164.7529,1335.2471,6.596e-321,0.0,8.7e-322
232.63,5e-324,4.94e-322,0.0,164.7529,1335.2471,6.596e-321,0.0,8.7e-322
232.88,5e-324,4.94e-322,0.0,164.7529,1335.2471,6.596e-321,0.0,8.7e-322
233.13,5e-324,4.94e-322,0.0,164.75296666666668,1335.2470333333333,6.596e-321,0.0,8.7e-322
233.38,5e-324,4.94e-322,0.0,164.753,1335.247,6.596e-321,0.0,8.7e-322
233.63,5e-324,4.94e-322,0.0,164.753,1335.247,6.596e-321,0.0,8.7e-322
233.88,5e-324,4.94e-322,0.0,164.75303333333332,1335.2469666666666,6.596e-321,0.0,8.7e-322
234.13,5e-324,4.94e-322,0.0,164.75306666666665,1335.2469333333333,6.596e-321,0.0,8.7e-322
234.38,5e-324,4.94e-322,0.0,164.75306666666665,1335.2469333333333,6.596e-321,0.0,8.7e-322
234.63,5e-324,4.94e-322,0.0,164.7531,1335.2469,6.596e-321,0.0,8.7e-322
234.88,5e-324,4.94e-322,0.0,164.75313333333332,1335.2468666666666,6.596e-321,0.0,8.7e-322
235.13,5e-324,4.94e-322,0.0,164.75313333333332,1335.2468666666666,6.596e-321,0.0,8.7e-322
