bid,p_win,p_win_pct,mean_if_win,conditional_surplus_v1500,unconditional_utility_v1500,relative_utility
160.0,0.0,0.0,nan,nan,0.0,0.0
162.0,6.662593830491781e-114,6.662593830491781e-112,162.49958878497685,1337.5004112150232,8.911221988041434e-111,1.8470669659877863e-111
163.0,9.378082775874231e-07,9.37808277587423e-05,162.99979154014738,1337.0002084598527,0.00125384986262976,0.00025989080562460173
164.0,0.00014122165572885866,0.014122165572885866,164.00012849393312,1335.999871506067,0.1886721139076292,0.039106873273893165
164.5,0.0031088658886778615,0.31088658886778614,164.50006393950093,1335.499936060499,4.151890195549951,0.860579978469865
164.7,0.003609032998053602,0.3609032998053602,164.7000815185276,1335.2999184814723,4.81914146809792,0.998883993922581
164.75,0.003589886407963709,0.3589886407963709,164.75002616293088,1335.249973837069,4.793395732311592,0.9935475655236711
164.8,0.0035852154645860932,0.35852154645860934,164.80001857997118,1335.1999814200287,4.786979621702152,0.9922176709286621
164.81,0.0036133624115026,0.36133624115026,164.80991424884877,1335.1900857511512,4.824525668064143,1.0
164.82,0.0035656611354439004,0.35656611354439005,164.81995915889112,1335.1800408411088,4.76079958044754,0.9867912221840923
164.83,0.003575119175056044,0.3575119175056044,164.83006279706078,1335.1699372029393,4.773391644452603,0.9894012329647202
164.84,0.003606777979888064,0.3606777979888064,164.83999107613343,1335.1600089238666,4.815625719813752,0.99815526978967
164.85,0.0035641078164873534,0.35641078164873535,164.84995454089483,1335.150045459105,4.758618713204242,0.9863391845345189
164.86,0.0035291059070608633,0.3529105907060863,164.8600193502241,1335.139980649776,4.711850392464252,0.9766453153424506
164.9,0.0034235137210895817,0.34235137210895816,164.8999853144323,1335.1000146855677,4.570733219302943,0.9473953573423446
165.0,1.6847257690586673e-05,0.0016847257690586672,164.99998900010905,1335.000010999891,0.022491089202251208,0.0046618239283357015
166.0,1.4891592049182703e-05,0.0014891592049182704,165.99967158304736,1334.0003284169527,0.01986538868426101,0.004117583789792969
168.0,8.005397432301558e-172,8.005397432301558e-170,167.01043287375563,1332.9895671262443,1.06711112579572e-168,2.211846716578672e-169
170.0,0.0,0.0,nan,nan,0.0,0.0
