bid,p_win,p_win_pct,p_win_pct_mc_se,mean_if_win,conditional_surplus_v1500,unconditional_utility_v1500,utility_v1500_mc_se,relative_utility
160.0,1.6146352372977077e-252,1.6146352372977077e-250,0.0,162.22193882479402,1337.778061175206,2.160023597257296e-249,0.0,2.673559641455861e-250
162.0,1.4349195727200756e-23,1.4349195727200756e-21,1.4348920241642657e-21,162.1454359040934,1337.8545640959067,1.9197136994741013e-20,1.9196768451887982e-20,2.3761171297299102e-21
163.0,9.300284898076175e-06,0.0009300284898076175,0.00011121318992708866,163.00009793476656,1336.9999020652335,0.012434479997906617,0.0014869203674234882,0.001539072254909876
164.0,0.00043761733323216474,0.04376173332321647,0.000761488761808887,164.0000628080771,1335.999937191923,0.5846567297122689,0.010173489891330085,0.07236562779448635
164.5,0.0054820785820748645,0.5482078582074864,0.006364720600150365,164.5001267865988,1335.4998732134013,7.321315251306884,0.08500083506796258,0.9061925528556047
164.7,0.006050479151523532,0.6050479151523531,0.0066975631193933625,164.69999661549627,1335.3000033845037,8.079204831507242,0.08943256193753348,1.0
164.74,0.005966072152540946,0.5966072152540947,0.006630083153245728,164.7399715733179,1335.260028426682,7.966257671997462,0.08852884999398271,0.9860200153523389
164.75,0.006019677350771345,0.6019677350771345,0.006679042894836004,164.749969378607,1335.250030621393,8.037774366948346,0.08918192373126836,0.994871962597442
164.8,0.005963695272962487,0.5963695272962487,0.006631001601593244,164.7999500263431,1335.2000499736569,7.962726226487172,0.08853713614850368,0.9855829122482663
164.81,0.005958094706268791,0.5958094706268792,0.006639132701406399,164.80996848821198,1335.190031511788,7.955188658613246,0.0886450406563331,0.9846499531228174
164.82,0.006013799146473722,0.6013799146473722,0.006692867613998476,164.82000256457806,1335.179997435422,8.029504328965926,0.08936183024394136,0.9938483423087016
164.83,0.00598991126213463,0.598991126213463,0.006646105654742779,164.83003690360573,1335.1699630963942,7.997549598814969,0.08873680620478175,0.9898931597359886
164.84,0.0060391241159103905,0.603912411591039,0.006696123726737162,164.83997973889663,1335.1600202611035,8.063197076958234,0.08940396741402758,0.9980186472700158
164.85,0.005957818519261661,0.5957818519261661,0.006645901935883362,164.84996202002554,1335.1500379799745,7.954581622270001,0.08873276124643042,0.9845748174682691
164.86,0.005878694722013278,0.5878694722013278,0.006589745879112741,164.85999526004682,1335.1400047399532,7.848880499013546,0.08798233360082508,0.9714917077488272
164.9,0.005809355285837731,0.5809355285837731,0.0065633279872131,164.89999019501954,1335.1000098049803,7.756070299082569,0.08762699079225003,0.9600041663550211
165.0,3.787567622994825e-05,0.003787567622994825,4.67217041272266e-05,165.00002812939346,1334.9999718706065,0.05056402670156112,0.0006237347475807881,0.00625854001180559
166.0,9.501624803877183e-05,0.009501624803877182,0.0003532236461739518,165.99958185046953,1334.0004181495306,0.12675171461472112,0.004712004556555431,0.01568863734218192
168.0,1.4039996891134656e-61,1.4039996891134655e-59,1.4039996891134655e-59,167.44707386441388,1332.5529261355862,1.8709038940216016e-58,1.870903894021602e-58,2.315703009193999e-59
170.0,5.1775494731883e-310,5.177549473188295e-308,0.0,166.9287575630508,1333.0712424369492,6.902042309001898e-307,0.0,8.5429723010429795e-308
