N,reps,mean,mean_sd,best_bid,p_win_pct,utility_v1500
10000,80000,164.74158493541591,0.6140799739799422,164.66,0.7332637122389875,9.791565517375325
12500,80000,164.74165656045807,0.5711652108277847,164.79,0.6494981996153808,8.672164219025765
14000,80000,164.74188515250674,0.5476990154399454,164.83,0.5797952899940604,7.741253561034085
20000,80000,164.74235766443115,0.49720445326176477,164.69,0.4582982669465627,6.119702728346482
25000,80000,164.74308172244295,0.47024219635165965,164.89,0.37880488694222864,5.057461898462451
30000,80000,164.741592974335,0.4510026756834483,164.76,0.3363324471451486,4.490845551840231
50000,80000,164.74105598873496,0.4126877759469922,164.7,0.2184490847117372,2.916950861120103
